DEPTH,GR,RT.OHMM,RXO.OHMM,TVD,TVDSS
33.0708,-999.25,-999.25,-999.25,33.0708,13.7508
33.2232,-999.25,-999.25,-999.25,33.2232,13.9032
33.3756,-999.25,-999.25,-999.25,33.3756,14.0556
33.528,-999.25,-999.25,-999.25,33.528,14.208
33.6804,-999.25,-999.25,-999.25,33.6804,14.3604
33.8328,-999.25,-999.25,-999.25,33.8328,14.5128
33.9852,-999.25,-999.25,-999.25,33.9852,14.6652
34.1376,-999.25,-999.25,-999.25,34.1376,14.8176
34.29,-999.25,-999.25,-999.25,34.29,14.97
34.4424,-999.25,-999.25,-999.25,34.4424,15.1224
34.5948,-999.25,-999.25,-999.25,34.5948,15.2748
34.7472,-999.25,-999.25,-999.25,34.7472,15.4272
34.8996,-999.25,-999.25,-999.25,34.8996,15.5796
35.052,-999.25,-999.25,-999.25,35.052,15.732
35.2044,-999.25,-999.25,-999.25,35.2044,15.8844
35.3568,-999.25,-999.25,-999.25,35.3568,16.0368
35.5092,-999.25,-999.25,-999.25,35.5092,16.1892
35.6616,-999.25,-999.25,-999.25,35.6616,16.3416
35.814,-999.25,-999.25,-999.25,35.814,16.494
35.9664,-999.25,-999.25,-999.25,35.9663,16.6463
36.1188,-999.25,-999.25,-999.25,36.1187,16.7987
36.2712,-999.25,-999.25,-999.25,36.2711,16.9511
36.4236,-999.25,-999.25,-999.25,36.4235,17.1035
36.576,-999.25,-999.25,-999.25,36.5759,17.2559
36.7284,-999.25,-999.25,-999.25,36.7283,17.4083
36.8808,-999.25,-999.25,-999.25,36.8807,17.5607
37.0332,-999.25,-999.25,-999.25,37.0331,17.7131
37.1856,-999.25,-999.25,-999.25,37.1855,17.8655
37.338,-999.25,-999.25,-999.25,37.3379,18.0179
37.4904,-999.25,-999.25,-999.25,37.4903,18.1703
37.6428,-999.25,-999.25,-999.25,37.6427,18.3227
37.7952,-999.25,-999.25,-999.25,37.7951,18.4751
37.9476,-999.25,-999.25,-999.25,37.9475,18.6275
38.1,-999.25,-999.25,-999.25,38.0999,18.7799
38.2524,-999.25,-999.25,-999.25,38.2523,18.9323
38.4048,-999.25,-999.25,-999.25,38.4047,19.0847
38.5572,-999.25,-999.25,-999.25,38.5571,19.2371
38.7096,-999.25,-999.25,-999.25,38.7095,19.3895
38.862,-999.25,-999.25,-999.25,38.8619,19.5419
39.0144,-999.25,-999.25,-999.25,39.0143,19.6943
39.1668,-999.25,-999.25,-999.25,39.1667,19.8467
39.3192,-999.25,-999.25,-999.25,39.3191,19.9991
39.4716,-999.25,-999.25,-999.25,39.4715,20.1515
39.624,-999.25,-999.25,-999.25,39.6239,20.3039
39.7764,-999.25,-999.25,-999.25,39.7763,20.4563
39.9288,-999.25,-999.25,-999.25,39.9287,20.6087
40.0812,-999.25,-999.25,-999.25,40.0811,20.7611
40.2336,-999.25,-999.25,-999.25,40.2335,20.9135
40.386,-999.25,-999.25,-999.25,40.3859,21.0659
40.5384,-999.25,-999.25,-999.25,40.5383,21.2183
40.6908,-999.25,-999.25,-999.25,40.6907,21.3707
40.8432,-999.25,-999.25,-999.25,40.8431,21.5231
40.9956,-999.25,-999.25,-999.25,40.9955,21.6755
41.148,-999.25,-999.25,-999.25,41.1479,21.8279
41.3004,-999.25,-999.25,-999.25,41.3003,21.9803
41.4528,-999.25,-999.25,-999.25,41.4527,22.1327
41.6052,-999.25,-999.25,-999.25,41.6051,22.2851
41.7576,-999.25,-999.25,-999.25,41.7575,22.4375
41.91,-999.25,-999.25,-999.25,41.9099,22.5899
42.0624,-999.25,-999.25,-999.25,42.0623,22.7423
42.2148,-999.25,-999.25,-999.25,42.2147,22.8947
42.3672,-999.25,-999.25,-999.25,42.3671,23.0471
42.5196,-999.25,-999.25,-999.25,42.5195,23.1995
42.672,-999.25,-999.25,-999.25,42.6719,23.3519
42.8244,-999.25,-999.25,-999.25,42.8243,23.5043
42.9768,-999.25,-999.25,-999.25,42.9767,23.6567
43.1292,-999.25,-999.25,-999.25,43.1291,23.8091
43.2816,-999.25,-999.25,-999.25,43.2815,23.9615
43.434,-999.25,-999.25,-999.25,43.4339,24.1139
43.5864,-999.25,-999.25,-999.25,43.5863,24.2663
43.7388,-999.25,-999.25,-999.25,43.7387,24.4187
43.8912,-999.25,-999.25,-999.25,43.8911,24.5711
44.0436,-999.25,-999.25,-999.25,44.0435,24.7235
44.196,-999.25,-999.25,-999.25,44.1959,24.8759
44.3484,-999.25,-999.25,-999.25,44.3483,25.0283
44.5008,-999.25,-999.25,-999.25,44.5007,25.1807
44.6532,-999.25,-999.25,-999.25,44.6531,25.3331
44.8056,-999.25,-999.25,-999.25,44.8055,25.4855
44.958,-999.25,-999.25,-999.25,44.9579,25.6379
45.1104,-999.25,-999.25,-999.25,45.1103,25.7903
45.2628,-999.25,-999.25,-999.25,45.2627,25.9427
45.4152,-999.25,-999.25,-999.25,45.4151,26.0951
45.5676,-999.25,-999.25,-999.25,45.5675,26.2475
45.72,-999.25,-999.25,-999.25,45.7199,26.3999
45.8724,-999.25,-999.25,-999.25,45.8723,26.5523
46.0248,-999.25,-999.25,-999.25,46.0247,26.7047
46.1772,-999.25,-999.25,-999.25,46.1771,26.8571
46.3296,-999.25,-999.25,-999.25,46.3295,27.0095
46.482,-999.25,-999.25,-999.25,46.4819,27.1619
46.6344,-999.25,-999.25,-999.25,46.6343,27.3143
46.7868,-999.25,-999.25,-999.25,46.7867,27.4667
46.9392,-999.25,-999.25,-999.25,46.9391,27.6191
47.0916,-999.25,-999.25,-999.25,47.0915,27.7715
47.244,-999.25,-999.25,-999.25,47.2439,27.9239
47.3964,-999.25,-999.25,-999.25,47.3963,28.0763
47.5488,-999.25,-999.25,-999.25,47.5487,28.2287
47.7012,-999.25,-999.25,-999.25,47.7011,28.3811
47.8536,-999.25,-999.25,-999.25,47.8535,28.5335
48.006,-999.25,-999.25,-999.25,48.0059,28.6859
48.1584,-999.25,-999.25,-999.25,48.1583,28.8383
48.3108,-999.25,-999.25,-999.25,48.3107,28.9907
48.4632,-999.25,-999.25,-999.25,48.4631,29.1431
48.6156,-999.25,-999.25,-999.25,48.6155,29.2955
48.768,-999.25,-999.25,-999.25,48.7679,29.4479
48.9204,-999.25,-999.25,-999.25,48.9203,29.6003
49.0728,-999.25,-999.25,-999.25,49.0727,29.7527
49.2252,-999.25,-999.25,-999.25,49.2251,29.9051
49.3776,-999.25,-999.25,-999.25,49.3775,30.0575
49.53,-999.25,-999.25,-999.25,49.5299,30.2099
49.6824,-999.25,-999.25,-999.25,49.6823,30.3623
49.8348,-999.25,-999.25,-999.25,49.8347,30.5147
49.9872,-999.25,-999.25,-999.25,49.9871,30.6671
50.1396,-999.25,-999.25,-999.25,50.1395,30.8195
50.292,-999.25,-999.25,-999.25,50.2919,30.9719
50.4444,-999.25,-999.25,-999.25,50.4443,31.1243
50.5968,-999.25,-999.25,-999.25,50.5967,31.2767
50.7492,-999.25,-999.25,-999.25,50.7491,31.4291
50.9016,-999.25,-999.25,-999.25,50.9015,31.5815
51.054,-999.25,-999.25,-999.25,51.0539,31.7339
51.2064,-999.25,-999.25,-999.25,51.2062,31.8862
51.3588,-999.25,-999.25,-999.25,51.3586,32.0386
51.5112,-999.25,-999.25,-999.25,51.511,32.191
51.6636,-999.25,-999.25,-999.25,51.6634,32.3434
51.816,-999.25,-999.25,-999.25,51.8158,32.4958
51.9684,-999.25,-999.25,-999.25,51.9682,32.6482
52.1208,-999.25,-999.25,-999.25,52.1206,32.8006
52.2732,-999.25,-999.25,-999.25,52.273,32.953
52.4256,-999.25,-999.25,-999.25,52.4254,33.1054
52.578,-999.25,-999.25,-999.25,52.5778,33.2578
52.7304,-999.25,-999.25,-999.25,52.7302,33.4102
52.8828,-999.25,-999.25,-999.25,52.8826,33.5626
53.0352,-999.25,-999.25,-999.25,53.035,33.715
53.1876,-999.25,-999.25,-999.25,53.1874,33.8674
53.34,-999.25,-999.25,-999.25,53.3398,34.0198
53.4924,-999.25,-999.25,-999.25,53.4922,34.1722
53.6448,-999.25,-999.25,-999.25,53.6446,34.3246
53.7972,-999.25,-999.25,-999.25,53.797,34.477
53.9496,-999.25,-999.25,-999.25,53.9494,34.6294
54.102,-999.25,-999.25,-999.25,54.1018,34.7818
54.2544,-999.25,-999.25,-999.25,54.2542,34.9342
54.4068,-999.25,-999.25,-999.25,54.4066,35.0866
54.5592,-999.25,-999.25,-999.25,54.559,35.239
54.7116,-999.25,-999.25,-999.25,54.7114,35.3914
54.864,-999.25,-999.25,-999.25,54.8638,35.5438
55.0164,-999.25,-999.25,-999.25,55.0162,35.6962
55.1688,-999.25,-999.25,-999.25,55.1686,35.8486
55.3212,-999.25,-999.25,-999.25,55.321,36.001
55.4736,-999.25,-999.25,-999.25,55.4734,36.1534
55.626,-999.25,-999.25,-999.25,55.6258,36.3058
55.7784,-999.25,-999.25,-999.25,55.7782,36.4582
55.9308,-999.25,-999.25,-999.25,55.9306,36.6106
